produk,jumlah_terjual,penjualan_rp,kategori,tanggal
UDANG CRISPY 7829 BAG 777 UDANG Produk 81.00 0.00%,777000.0,1377000.0,Seafood,2025-11-03
MIE TUMIS KUAH SPESIAL 124 BAG 777 MIE TUMIS Produk 80.00 0.00%,124000.0,1280000.0,Minuman,2025-11-03
MILKSHAKE VANILA LATTE 193 BAG 777 MILKSHAKE Produk 79.00 0.00%,193000.0,790000.0,Lainnya,2025-11-03
SAMBAL 207 BAG 777 LAIN LAIN Produk 79.00 0.00%,207000.0,395000.0,Lainnya,2025-11-03
KWETIAU KUAH SEPESIAL 144 BAG 777 KWETIAU Produk 77.00 0.00%,144000.0,1463000.0,Minuman,2025-11-03
PAKET CUMI CUMI MENTEGA 8829 BAG 777 CUMI CUMI Produk 71.00 0.00%,777000.0,1278000.0,Paket Seafood,2025-11-03
PAKET BEBEK ASAM MANIS 504 BAG 777 BEBEK Produk 71.00 0.00%,504000.0,2059000.0,Paket Bebek,2025-11-03
NILA GORENG 537 BAG 777 IKAN NILA Produk 68.00 0.00%,537000.0,884000.0,Ikan Nila,2025-11-03
PAKET UDANG MENTEGA 787 BAG 777 UDANG Produk 65.00 0.00%,787000.0,1300000.0,Paket Seafood,2025-11-03
JUS JERUK 226 BAG 777 MINUMAN Produk 62.00 0.00%,226000.0,620000.0,Minuman,2025-11-03
TAUGE KOMBINASI 311 BAG 777 SAYURAN Produk 59.00 0.00%,311000.0,885000.0,Nasi,2025-11-03
PAKET AYAM MENTEGA 33 BAG 777 AYAM Produk 57.00 0.00%,33000.0,1197000.0,Paket Ayam,2025-11-03
MILKSHAKE CREAMY 184 BAG 777 MILKSHAKE Produk 55.00 0.00%,184000.0,550000.0,Lainnya,2025-11-03
FANTA P 390ML 244 BAG 777 MENU Produk 54.00 0.00%,244000.0,378000.0,Lainnya,2025-11-03
SPRITE PL 390ML 245 BAG 777 MENU Produk 54.00 0.00%,245000.0,378000.0,Lainnya,2025-11-03
MILKSHAKE CHOCO CARAMEL 179 BAG 777 MILKSHAKE Produk 54.00 0.00%,179000.0,540000.0,Lainnya,2025-11-03
MILKSHAKE CHOCO CHEESE 183 BAG 777 MILKSHAKE Produk 50.00 0.00%,183000.0,500000.0,Minuman,2025-11-03
PAKET BEBEK MERCON 19 BAG 777 BEBEK Produk 49.00 0.00%,19000.0,1421000.0,Paket Bebek,2025-11-03
PAKET AYAM BAKAR 30 BAG 777 AYAM Produk 49.00 0.00%,30000.0,982000.0,Paket Ayam,2025-11-03
SOSIS 159 BAG 777 SNACK Produk 48.00 0.00%,159000.0,480000.0,Lainnya,2025-11-03
MILKSHAKE DARK CHOCOLATE 176 BAG 777 MILKSHAKE Produk 48.00 0.00%,176000.0,480000.0,Lainnya,2025-11-03
NASI GORENG PEDAS GILA 215 BAG 777 NASI Produk 47.00 0.00%,215000.0,799000.0,Nasi,2025-11-03
PAKET AYAM SAOS TIRAM 35 BAG 777 AYAM Produk 47.00 0.00%,35000.0,987000.0,Paket Ayam,2025-11-03
PAKET IKAN NILA SAOS TIRAM 55 BAG 777 IKAN NILA Produk 43.00 0.00%,55000.0,774000.0,Paket Ikan Nila,2025-11-03
NASI GORENG CABE IJO 6372 BAG 777 NASI Produk 42.00 0.00%,777000.0,714000.0,Nasi,2025-11-03
NASI GORENG BEBEK BAKAR 114 BAG 777 NASI Produk 40.00 0.00%,114000.0,1320000.0,Bebek,2025-11-03
PAKET IKAN LELE SAOS 66 BAG 777 IKAN LELE Produk 39.00 0.00%,66000.0,663000.0,Paket Ikan Lele,2025-11-03
SUSU HANGAT 210 BAG 777 MINUMAN Produk 38.00 0.00%,210000.0,190000.0,Minuman,2025-11-03
AYAM MERCON 41 BAG 777 AYAM Produk 38.00 0.00%,41000.0,684000.0,Lainnya,2025-11-03
CUMI CUMI SAOS TIRAM 90 BAG 777 CUMI CUMI Produk 37.00 0.00%,90000.0,555000.0,Seafood,2025-11-03
MIE TUMIS KUAH AYAM 123 BAG 777 MIE TUMIS Produk 35.00 0.00%,123000.0,525000.0,Mie,2025-11-03
PAKET BEBEK SAOS PADANG 14 BAG 777 BEBEK Produk 35.00 0.00%,14000.0,1015000.0,Paket Bebek,2025-11-03
MIE TUMIS KUAH REMPELA HATI 121 BAG 777 MIE TUMIS Produk 31.00 0.00%,121000.0,403000.0,Mie,2025-11-03
PAKET IKAN LELE ASAM MANIS 64 BAG 777 IKAN LELE Produk 31.00 0.00%,64000.0,527000.0,Paket Ikan Lele,2025-11-03
KWETIAU KUAH AYAM 143 BAG 777 KWETIAU Produk 30.00 0.00%,143000.0,540000.0,Mie,2025-11-03
KWETIAW PEDAS GILA 515 BAG 777 KWETIAU Produk 29.00 0.00%,515000.0,551000.0,Mie,2025-11-03
MIE TUMIS KUAH SOSIS 122 BAG 777 MIE TUMIS Produk 26.00 0.00%,122000.0,338000.0,Mie,2025-11-03
KWETIAU KUAH SOSIS 142 BAG 777 KWETIAU Produk 25.00 0.00%,142000.0,400000.0,Mie,2025-11-03
UDANG SAOS TIRAM 7283 BAG 777 UDANG Produk 24.00 0.00%,777000.0,408000.0,Seafood,2025-11-03
NASI GORENG BEBEK GORENG 113 BAG 777 NASI Produk 20.00 0.00%,113000.0,660000.0,Bebek,2025-11-03
Kelempang 202 BAG 777 LAIN LAIN Produk 20.00 0.00%,202000.0,100000.0,Lainnya,2025-11-03
PAKET LELE BAKAR BUMBU LLBKR798 BAG 777 IKAN LELE Produk 19.00 0.00%,777000.0,323000.0,Ikan Lele,2025-11-03
IKAN NILA SAOS ASAM MANIS 58 BAG 777 IKAN NILA Produk 18.00 0.00%,58000.0,270000.0,Ikan Nila,2025-11-03
MIE TUMIS PEDAS GILA LKJD83 BAG 777 MIE TUMIS Produk 17.00 0.00%,777000.0,289000.0,Mie,2025-11-03
PAKET BEBEK SAOS TIRAM SLKJ3 BAG 777 BEBEK Produk 15.00 0.00%,777000.0,435000.0,Paket Bebek,2025-11-03
AYAM SAOS PADANG 44 BAG 777 AYAM Produk 14.00 0.00%,44000.0,252000.0,Lainnya,2025-11-03
IKAN NILA BAKAR SAOS 536 BAG 777 IKAN NILA Produk 14.00 0.00%,536000.0,210000.0,Ikan Nila,2025-11-03
BEBEK SAOS PADANG 24 BAG 777 BEBEK Produk 12.00 0.00%,24000.0,312000.0,Bebek,2025-11-03
PAKET IKAN LELE SAOS TIRAM 67 BAG 777 IKAN LELE Produk 12.00 0.00%,67000.0,194000.0,Paket Ikan Lele,2025-11-03
AYAM SAOS ASAM MANIS 147 BAG 777 AYAM Produk 11.00 0.00%,147000.0,198000.0,Lainnya,2025-11-03
PAKET IKAN NILA MENTEGA 53 BAG 777 IKAN NILA Produk 11.00 0.00%,53000.0,198000.0,Paket Ikan Nila,2025-11-03
PAKET BEBEK MENTEGA 13 BAG 777 BEBEK Produk 9.00 0.00%,13000.0,261000.0,Paket Bebek,2025-11-03
ES FANTA SUSU 209 BAG 777 MINUMAN Produk 8.00 0.00%,209000.0,80000.0,Minuman,2025-11-03
AYAM MENTEGA AYMMT02 BAG 777 AYAM Produk 7.00 0.00%,777000.0,126000.0,Lainnya,2025-11-03
IKAN LELE SAOS PADANG 72 BAG 777 IKAN LELE Produk 7.00 0.00%,72000.0,98000.0,Ikan Lele,2025-11-03
SODA GEMBIRA 265 BAG 777 MENU Produk 7.00 0.00%,265000.0,70000.0,Lainnya,2025-11-03
KWETIAU KUAH REMPELA HATI 141 BAG 777 KWETIAU Produk 6.00 0.00%,141000.0,96000.0,Mie,2025-11-03
KWETIAU CABE IJO 768 BAG 777 KWETIAU Produk 6.00 0.00%,768000.0,114000.0,Mie,2025-11-03
AYAM SAOS TIRAM 46 BAG 777 AYAM Produk 6.00 0.00%,46000.0,108000.0,Lainnya,2025-11-03
PAKET 2 + PBB + ES TEH MANIS 3 BAG 777 PAKET Produk 6.00 0.00%,2000.0,168000.0,Minuman,2025-11-03
TAHU ASAM MANIS 314 BAG 777 LAIN LAIN Produk 5.00 0.00%,314000.0,55000.0,Lainnya,2025-11-03
UDANG MENTEGA 104 BAG 777 UDANG Produk 5.00 0.00%,104000.0,85000.0,Seafood,2025-11-03
MIE TUMIS KUAH CABE HIJAU DLKAJSD8BAG 777 MIE TUMIS Produk 5.00 0.00%,777000.0,85000.0,Mie,2025-11-03
BEBEK SAOS MERCON 21 BAG 777 BEBEK Produk 5.00 0.00%,21000.0,130000.0,Bebek,2025-11-03
PAKET BEBEK SAOS KECAP BBKSSKC BAG 777 BEBEK Produk 4.00 0.00%,777000.0,116000.0,Paket Bebek,2025-11-03
PAKET BEBEK BAKAR BUMBU 9HJK37 BAG 777 BEBEK Produk 4.00 0.00%,777000.0,116000.0,Paket Bebek,2025-11-03
IKAN LELE SAOS TIRAM 73 BAG 777 IKAN LELE Produk 4.00 0.00%,73000.0,56000.0,Ikan Lele,2025-11-03
KWETIAW KUAH CABE HIJAU 560 BAG 777 KWETIAU Produk 4.00 0.00%,560000.0,76000.0,Mie,2025-11-03
IKAN LELE ASAM MANIS 70 BAG 777 IKAN LELE Produk 4.00 0.00%,70000.0,56000.0,Ikan Lele,2025-11-03
PAKET 1 + PBG + Es Teh Manis 2 BAG 777 PAKET Produk 3.00 0.00%,1000.0,84000.0,Minuman,2025-11-03
MILKSHAKE TIRAMISU 178 BAG 777 MILKSHAKE Produk 3.00 0.00%,178000.0,30000.0,Lainnya,2025-11-03
PAKET AYAM GORENG + ES TEH 329 BAG 777 PAKET Produk 3.00 0.00%,329000.0,89700.0,Paket Ayam,2025-11-03
ES SPRITE SUSU 47 BAG 777 MINUMAN Produk 3.00 0.00%,47000.0,30000.0,Minuman,2025-11-03
BEBEK ASAM MANIS 12 BAG 777 BEBEK Produk 3.00 0.00%,12000.0,78000.0,Bebek,2025-11-03
PAKET 4 + PAB + Es Teh Manis 5 BAG 777 PAKET Produk 3.00 0.00%,4000.0,60000.0,Minuman,2025-11-03
BEBEK SAOS KECAP 20 BAG 777 BEBEK Produk 2.00 0.00%,20000.0,52000.0,Bebek,2025-11-03
BEBEK SAOS ASAM MANIS 28 BAG 777 BEBEK Produk 2.00 0.00%,28000.0,52000.0,Bebek,2025-11-03
IKAN LELE BAKAR RICA-RICA 71 BAG 777 IKAN LELE Produk 2.00 0.00%,71000.0,28000.0,Ikan Lele,2025-11-03
BEBEK SAOS TIRAM 25 BAG 777 BEBEK Produk 2.00 0.00%,25000.0,52000.0,Bebek,2025-11-03
PAKET BEBEK BAKAR + ES TEH 146 BAG 777 PAKET Produk 2.00 0.00%,146000.0,24000.0,Paket Bebek,2025-11-03
PAKET TAHU SP 203 BAG 777 LAIN LAIN Produk 2.00 0.00%,203000.0,30000.0,Lainnya,2025-11-03
PAKET 3 + PAG + Es Teh Manis 4 BAG 777 PAKET Produk 2.00 0.00%,3000.0,40000.0,Minuman,2025-11-03
AYAM SAOS KECAP 49 BAG 777 AYAM Produk 2.00 0.00%,49000.0,36000.0,Lainnya,2025-11-03
PAKET TELOR AYAM UIYI768 BAG 777 AYAM Produk 2.00 0.00%,777000.0,22000.0,Lainnya,2025-11-03
SPRITE K 250ML 251 BAG 777 MENU Produk 1.00 0.00%,251000.0,7000000.0,Lainnya,2025-11-03
FANTA K 250 ML 250 BAG 777 MENU Produk 1.00 0.00%,250000.0,7000000.0,Lainnya,2025-11-03
COCA COLA K 250ML 249 BAG 777 MENU Produk 1.00 0.00%,249000.0,7000000.0,Lainnya,2025-11-03
IKAN NILA SAOS TIRAM 59 BAG 777 IKAN NILA Produk 1.00 0.00%,59000.0,15000.0,Ikan Nila,2025-11-03
SOTO AYAM REMPELA HATI 542 BAG 777 SOTO & Produk 1.00 0.00%,542000.0,15000.0,Lainnya,2025-11-03
